QF4: hspd=20.6259, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6258, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6257, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6256, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6255, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6254, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6253, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6252, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6251, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.625, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6249, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6248, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6247, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6246, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6245, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6244, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6243, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6242, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6241, x=3307.5938, y=1611.2031, x_hex=0x454eb980, y_hex=0x44c96680, type=overlap
QF4: hspd=20.6044, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6043, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6042, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6041, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.604, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6039, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6038, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6037, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6036, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6035, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6034, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6033, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6032, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6031, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.603, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6029, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6028, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6027, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.6026, x=3307.581, y=1611.1782, x_hex=0x454eb94c, y_hex=0x44c965b4, type=overlap
QF4: hspd=20.582, x=3307.5684, y=1611.1533, x_hex=0x454eb918, y_hex=0x44c964e8, type=overlap
QF4: hspd=20.5819, x=3307.5684, y=1611.1533, x_hex=0x454eb918, y_hex=0x44c964e8, type=overlap
QF4: hspd=20.5818, x=3307.5684, y=1611.1533, x_hex=0x454eb918, y_hex=0x44c964e8, type=overlap
QF4: hspd=20.5817, x=3307.5684, y=1611.1533, x_hex=0x454eb918, y_hex=0x44c964e8, type=overlap
QF4: hspd=20.5816, x=3307.5684, y=1611.1533, x_hex=0x454eb918, y_hex=0x44c964e8, type=overlap
QF4: hspd=20.5815, x=3307.5684, y=1611.1533, x_hex=0x454eb918, y_hex=0x44c964e8, type=overlap
QF4: hspd=20.5814, x=3307.5684, y=1611.1533, x_hex=0x454eb918, y_hex=0x44c964e8, type=overlap
