===== QF 1 =====

===== QF 2 =====

===== QF 3 =====

===== QF 4 =====
hspd=20.6259, y=1611.2031, x=3307.5938
hspd=20.6258, y=1611.2031, x=3307.5938
hspd=20.6257, y=1611.2031, x=3307.5938
hspd=20.6256, y=1611.2031, x=3307.5938
hspd=20.6255, y=1611.2031, x=3307.5938
hspd=20.6254, y=1611.2031, x=3307.5938
hspd=20.6253, y=1611.2031, x=3307.5938
hspd=20.6252, y=1611.2031, x=3307.5938
hspd=20.6251, y=1611.2031, x=3307.5938
hspd=20.6250, y=1611.2031, x=3307.5938
hspd=20.6249, y=1611.2031, x=3307.5938
hspd=20.6248, y=1611.2031, x=3307.5938
hspd=20.6247, y=1611.2031, x=3307.5938
hspd=20.6246, y=1611.2031, x=3307.5938
hspd=20.6245, y=1611.2031, x=3307.5938
hspd=20.6244, y=1611.2031, x=3307.5938
hspd=20.6243, y=1611.2031, x=3307.5938
hspd=20.6242, y=1611.2031, x=3307.5938
hspd=20.6241, y=1611.2031, x=3307.5938
hspd=20.6044, y=1611.1782, x=3307.5810
hspd=20.6043, y=1611.1782, x=3307.5810
hspd=20.6042, y=1611.1782, x=3307.5810
hspd=20.6041, y=1611.1782, x=3307.5810
hspd=20.6040, y=1611.1782, x=3307.5810
hspd=20.6039, y=1611.1782, x=3307.5810
hspd=20.6038, y=1611.1782, x=3307.5810
hspd=20.6037, y=1611.1782, x=3307.5810
hspd=20.6036, y=1611.1782, x=3307.5810
hspd=20.6035, y=1611.1782, x=3307.5810
hspd=20.6034, y=1611.1782, x=3307.5810
hspd=20.6033, y=1611.1782, x=3307.5810
hspd=20.6032, y=1611.1782, x=3307.5810
hspd=20.6031, y=1611.1782, x=3307.5810
hspd=20.6030, y=1611.1782, x=3307.5810
hspd=20.6029, y=1611.1782, x=3307.5810
hspd=20.6028, y=1611.1782, x=3307.5810
hspd=20.6027, y=1611.1782, x=3307.5810
hspd=20.6026, y=1611.1782, x=3307.5810
hspd=20.5820, y=1611.1533, x=3307.5684
hspd=20.5819, y=1611.1533, x=3307.5684
hspd=20.5818, y=1611.1533, x=3307.5684
hspd=20.5817, y=1611.1533, x=3307.5684
hspd=20.5816, y=1611.1533, x=3307.5684
hspd=20.5815, y=1611.1533, x=3307.5684
hspd=20.5814, y=1611.1533, x=3307.5684
hspd=20.5813, y=1611.1533, x=3307.5684
hspd=20.5812, y=1611.1533, x=3307.5684
hspd=20.5811, y=1611.1533, x=3307.5684
hspd=20.5361, y=1611.1035, x=3307.5430
hspd=20.5360, y=1611.1035, x=3307.5430
hspd=20.5359, y=1611.1035, x=3307.5430
hspd=20.5358, y=1611.1035, x=3307.5430
hspd=20.5357, y=1611.1035, x=3307.5430
hspd=20.5356, y=1611.1035, x=3307.5430
hspd=20.5355, y=1611.1035, x=3307.5430
hspd=20.5354, y=1611.1035, x=3307.5430
hspd=20.5353, y=1611.1035, x=3307.5430
hspd=20.5352, y=1611.1035, x=3307.5430
hspd=20.5146, y=1611.0786, x=3307.5303
hspd=20.5145, y=1611.0786, x=3307.5303
hspd=20.5144, y=1611.0786, x=3307.5303
hspd=20.5143, y=1611.0786, x=3307.5303
hspd=20.5142, y=1611.0786, x=3307.5303
hspd=20.5141, y=1611.0786, x=3307.5303
hspd=20.5140, y=1611.0786, x=3307.5303
hspd=20.5139, y=1611.0786, x=3307.5303
hspd=20.5138, y=1611.0786, x=3307.5303
hspd=20.5137, y=1611.0786, x=3307.5303
hspd=20.5136, y=1611.0786, x=3307.5303
hspd=20.5135, y=1611.0786, x=3307.5303
hspd=20.5134, y=1611.0786, x=3307.5303
hspd=20.5133, y=1611.0786, x=3307.5303
hspd=20.5132, y=1611.0786, x=3307.5303
hspd=20.5131, y=1611.0786, x=3307.5303
hspd=20.5130, y=1611.0786, x=3307.5303
hspd=20.5129, y=1611.0786, x=3307.5303
hspd=20.5128, y=1611.0786, x=3307.5303
hspd=20.4931, y=1611.0537, x=3307.5176
hspd=20.4930, y=1611.0537, x=3307.5176
hspd=20.4929, y=1611.0537, x=3307.5176
hspd=20.4928, y=1611.0537, x=3307.5176
hspd=20.4927, y=1611.0537, x=3307.5176
hspd=20.4926, y=1611.0537, x=3307.5176
hspd=20.4925, y=1611.0537, x=3307.5176
hspd=20.4924, y=1611.0537, x=3307.5176
hspd=20.4923, y=1611.0537, x=3307.5176
hspd=20.4922, y=1611.0537, x=3307.5176
hspd=20.4921, y=1611.0537, x=3307.5176
hspd=20.4920, y=1611.0537, x=3307.5176
hspd=20.4919, y=1611.0537, x=3307.5176
hspd=20.4918, y=1611.0537, x=3307.5176
hspd=20.4917, y=1611.0537, x=3307.5176
hspd=20.4916, y=1611.0537, x=3307.5176
hspd=20.4915, y=1611.0537, x=3307.5176
hspd=20.4914, y=1611.0537, x=3307.5176
hspd=20.4913, y=1611.0537, x=3307.5176
hspd=20.4716, y=1611.0288, x=3307.5050
hspd=20.4715, y=1611.0288, x=3307.5050
hspd=20.4714, y=1611.0288, x=3307.5050
hspd=20.4713, y=1611.0288, x=3307.5050
hspd=20.4712, y=1611.0288, x=3307.5050
hspd=20.4711, y=1611.0288, x=3307.5050
hspd=20.4710, y=1611.0288, x=3307.5050
hspd=20.4709, y=1611.0288, x=3307.5050
hspd=20.4708, y=1611.0288, x=3307.5050
hspd=20.4707, y=1611.0288, x=3307.5050
hspd=20.4706, y=1611.0288, x=3307.5050
hspd=20.4705, y=1611.0288, x=3307.5050
hspd=20.4704, y=1611.0288, x=3307.5050
hspd=20.4703, y=1611.0288, x=3307.5050
hspd=20.4702, y=1611.0288, x=3307.5050
hspd=20.4701, y=1611.0288, x=3307.5050
hspd=20.4700, y=1611.0288, x=3307.5050
hspd=20.4699, y=1611.0288, x=3307.5050
hspd=20.4698, y=1611.0288, x=3307.5050
hspd=20.4492, y=1611.0039, x=3307.4922
hspd=20.4491, y=1611.0039, x=3307.4922
hspd=20.4490, y=1611.0039, x=3307.4922
hspd=20.4489, y=1611.0039, x=3307.4922
hspd=20.4488, y=1611.0039, x=3307.4922
hspd=20.4487, y=1611.0039, x=3307.4922
hspd=20.4486, y=1611.0039, x=3307.4922
hspd=20.4485, y=1611.0039, x=3307.4922
hspd=20.4484, y=1611.0039, x=3307.4922
hspd=20.4483, y=1611.0039, x=3307.4922
hspd=20.4033, y=1610.9541, x=3307.4668
hspd=20.4032, y=1610.9541, x=3307.4668
hspd=20.4031, y=1610.9541, x=3307.4668
hspd=20.4030, y=1610.9541, x=3307.4668
hspd=20.4029, y=1610.9541, x=3307.4668
hspd=20.4028, y=1610.9541, x=3307.4668
hspd=20.4027, y=1610.9541, x=3307.4668
hspd=20.4026, y=1610.9541, x=3307.4668
hspd=20.4025, y=1610.9541, x=3307.4668
hspd=20.4024, y=1610.9541, x=3307.4668
hspd=20.3818, y=1610.9292, x=3307.4540
hspd=20.3817, y=1610.9292, x=3307.4540
hspd=20.3816, y=1610.9292, x=3307.4540
hspd=20.3815, y=1610.9292, x=3307.4540
hspd=20.3814, y=1610.9292, x=3307.4540
hspd=20.3813, y=1610.9292, x=3307.4540
hspd=20.3812, y=1610.9292, x=3307.4540
hspd=20.3811, y=1610.9292, x=3307.4540
hspd=20.3810, y=1610.9292, x=3307.4540
hspd=20.3809, y=1610.9292, x=3307.4540
hspd=20.3808, y=1610.9292, x=3307.4540
hspd=20.3807, y=1610.9292, x=3307.4540
hspd=20.3806, y=1610.9292, x=3307.4540
hspd=20.3805, y=1610.9292, x=3307.4540
hspd=20.3804, y=1610.9292, x=3307.4540
hspd=20.3803, y=1610.9292, x=3307.4540
hspd=20.3802, y=1610.9292, x=3307.4540
hspd=20.3801, y=1610.9292, x=3307.4540
hspd=20.3800, y=1610.9292, x=3307.4540
hspd=20.3799, y=1610.9292, x=3307.4540
hspd=20.3603, y=1610.9043, x=3307.4414
hspd=20.3602, y=1610.9043, x=3307.4414
